id,name,nameEn,description,descriptionEn,fullVideoUrl,fullVideoImageUrl,introduction,introductionEn,slug,slugEn,primaryMuscle,equipment,channelName
ex-001,Gainage creux (hollow hold),Hollow Hold,Exercício de fortalecimento do core em posição oca,Core strengthening exercise in hollow position,https://www.youtube.com/watch?v=oety5IQ4lGw,https://img.youtube.com/vi/oety5IQ4lGw/maxresdefault.jpg,"Exercício fundamental para o fortalecimento do core. Mantenha a posição oca contraindo o abdômen.","Fundamental exercise for core strengthening. Maintain the hollow position by contracting the abdomen.",gainage-creux,hollow-hold,CORE,BODYWEIGHT,@fit-distance
ex-002,Pompes diamant,Diamond Push-ups,Variação de flexão focada no tríceps e peito,Push-up variation focused on triceps and chest,https://www.youtube.com/watch?v=dluhsF6hP2w,https://img.youtube.com/vi/dluhsF6hP2w/maxresdefault.jpg,"Flexão com as mãos formando um diamante, focando no tríceps.","Push-up with hands forming a diamond, focusing on triceps.",pompes-diamant,diamond-push-ups,CHEST,BODYWEIGHT,@fit-distance
ex-003,Rowing en pronation à la barre (incliné),Inclined Barbell Row,Remada com barra para fortalecimento das costas,Barbell row for back strengthening,https://www.youtube.com/watch?v=rhzLt8642yE,https://img.youtube.com/vi/rhzLt8642yE/maxresdefault.jpg,"Remada inclinada com barra, excelente para dorsais e romboides.","Inclined barbell row, excellent for lats and rhomboids.",rowing-barre-incline,inclined-barbell-row,BACK,BARBELL,@fit-distance
ex-004,Développé épaules unilatéral (kettlebell),Unilateral Shoulder Press (kettlebell),Desenvolvimento unilateral de ombros com kettlebell,Unilateral shoulder development with kettlebell,https://www.youtube.com/watch?v=9ST7VIWmK3k,https://img.youtube.com/vi/9ST7VIWmK3k/maxresdefault.jpg,"Desenvolvimento unilateral dos ombros, melhora equilíbrio e força.","Unilateral shoulder development, improves balance and strength.",developpe-epaules-kettlebell,shoulder-press-kettlebell,SHOULDERS,KETTLEBELL,@fit-distance
ex-005,Curl spider (barra EZ),Spider Curl (EZ bar),Curl concentrado no banco inclinado com barra EZ,Concentrated curl on incline bench with EZ bar,https://www.youtube.com/watch?v=qjIJO_dafWg,https://img.youtube.com/vi/qjIJO_dafWg/maxresdefault.jpg,"Curl spider para isolamento máximo do bíceps com barra EZ.","Spider curl for maximum biceps isolation with EZ bar.",curl-spider-ez,spider-curl-ez,BICEPS,BARBELL,@fit-distance
ex-006,Dips sur barre droite,Straight Bar Dips,Fundos na barra reta para tríceps,Dips on straight bar for triceps,https://www.youtube.com/watch?v=zl7p1JoRpx4,https://img.youtube.com/vi/zl7p1JoRpx4/maxresdefault.jpg,"Fundos na barra reta, excelente para tríceps e peitorais.","Dips on straight bar, excellent for triceps and pectorals.",dips-barre-droite,straight-bar-dips,TRICEPS,BODYWEIGHT,@fit-distance
ex-007,Step-up avec haltères,Dumbbell Step-up,Subida no step com halteres para quadríceps,Step-up with dumbbells for quadriceps,https://www.youtube.com/watch?v=yoquxWRdJO0,https://img.youtube.com/vi/yoquxWRdJO0/maxresdefault.jpg,"Step-up com halteres, fortalece quadríceps e glúteos.","Step-up with dumbbells, strengthens quadriceps and glutes.",step-up-halteres,dumbbell-step-up,QUADRICEPS,DUMBBELL,@fit-distance
ex-008,Hip-thrust (pont) au sol,Hip Thrust,Elevação de quadril no solo para glúteos,Hip elevation on floor for glutes,https://www.youtube.com/watch?v=wmg3AJUQucY,https://img.youtube.com/vi/wmg3AJUQucY/maxresdefault.jpg,"Hip-thrust no solo, exercício fundamental para glúteos.","Hip-thrust on floor, fundamental exercise for glutes.",hip-thrust-sol,hip-thrust,GLUTES,BODYWEIGHT,@fit-distance
ex-009,Relevé de mollets debout avec balancement,Standing Calf Raises with Swing,Elevação de panturrilha em pé com balanço,Standing calf raise with swing motion,https://www.youtube.com/watch?v=HV7dsnvSpY8,https://img.youtube.com/vi/HV7dsnvSpY8/maxresdefault.jpg,"Elevação de panturrilha com movimento dinâmico.","Calf raise with dynamic movement.",releve-mollets-balancement,calf-raises-swing,CALVES,BODYWEIGHT,@fit-distance
ex-010,Curls avant bras supination,Forearm Supination Curls,Curl de antebraço em supinação,Forearm curl in supination,https://www.youtube.com/watch?v=YG1EcoauOlY,https://img.youtube.com/vi/YG1EcoauOlY/maxresdefault.jpg,"Curl específico para fortalecimento dos antebraços.","Specific curl for forearm strengthening.",curl-avant-bras,forearm-curls,FOREARMS,DUMBBELL,@fit-distance
ex-011,Pompes classiques,Classic Push-ups,Flexão clássica no solo,Classic push-ups on floor,https://www.youtube.com/watch?v=IODxDxX7oi4,https://img.youtube.com/vi/IODxDxX7oi4/maxresdefault.jpg,"Flexão básica, exercício fundamental para peito e tríceps.","Basic push-up, fundamental exercise for chest and triceps.",pompes-classiques,classic-push-ups,CHEST,BODYWEIGHT,@fit-distance
ex-012,Pompes surélevées,Elevated Push-ups,Flexão com pés elevados,Push-ups with elevated feet,https://www.youtube.com/watch?v=llNtA2iTwXs,https://img.youtube.com/vi/llNtA2iTwXs/maxresdefault.jpg,"Flexão com pés elevados, maior dificuldade para peitorais.","Push-ups with elevated feet, increased difficulty for pectorals.",pompes-surelevees,elevated-push-ups,CHEST,BODYWEIGHT,@fit-distance
ex-013,Pompes inclinées,Incline Push-ups,Flexão inclinada para iniciantes,Incline push-ups for beginners,https://www.youtube.com/watch?v=4dF1DOWzf20,https://img.youtube.com/vi/4dF1DOWzf20/maxresdefault.jpg,"Flexão inclinada, versão adaptada para iniciantes.","Incline push-up, adapted version for beginners.",pompes-inclinees,incline-push-ups,CHEST,BODYWEIGHT,@fit-distance
ex-014,Pompes écartées,Wide Push-ups,Flexão com abertura ampla,Wide grip push-ups,https://www.youtube.com/watch?v=rr6yXvgLbnk,https://img.youtube.com/vi/rr6yXvgLbnk/maxresdefault.jpg,"Flexão com abertura ampla, foco no peito externo.","Wide grip push-up, focus on outer chest.",pompes-ecartees,wide-push-ups,CHEST,BODYWEIGHT,@fit-distance
ex-015,Pompes archer,Archer Push-ups,Flexão arqueiro unilateral,Unilateral archer push-ups,https://www.youtube.com/watch?v=Nj8jQ5nsLpU,https://img.youtube.com/vi/Nj8jQ5nsLpU/maxresdefault.jpg,"Flexão arqueiro, exercício avançado unilateral.","Archer push-up, advanced unilateral exercise.",pompes-archer,archer-push-ups,CHEST,BODYWEIGHT,@fit-distance
ex-016,Pompes prise serrée,Close-grip Push-ups,Flexão com pegada fechada,Close-grip push-ups,https://www.youtube.com/watch?v=vsiovCK5s94,https://img.youtube.com/vi/vsiovCK5s94/maxresdefault.jpg,"Flexão com pegada fechada para tríceps.","Close-grip push-up for triceps.",pompes-prise-serree,close-grip-push-ups,CHEST,BODYWEIGHT,@fit-distance
ex-017,Pompes pike,Pike Push-ups,Flexão pike para ombros,Pike push-ups for shoulders,https://www.youtube.com/watch?v=x2ba3bHh14s,https://img.youtube.com/vi/x2ba3bHh14s/maxresdefault.jpg,"Flexão pike, foco no desenvolvimento dos ombros.","Pike push-up, focus on shoulder development.",pompes-pike,pike-push-ups,CHEST,BODYWEIGHT,@fit-distance
ex-018,Pompes T,T Push-ups,Flexão com rotação em T,T-rotation push-ups,https://www.youtube.com/watch?v=Va7QRaAhqzk,https://img.youtube.com/vi/Va7QRaAhqzk/maxresdefault.jpg,"Flexão com rotação, trabalha core e estabilidade.","Push-up with rotation, works core and stability.",pompes-t,t-push-ups,CHEST,BODYWEIGHT,@fit-distance
ex-019,Pull-ups dorsales,Dorsal Pull-ups,Barra fixa para dorsais,Pull-ups for lats,https://www.youtube.com/watch?v=eGo4IYlbE5g,https://img.youtube.com/vi/eGo4IYlbE5g/maxresdefault.jpg,"Barra fixa clássica, exercício completo para dorsais.","Classic pull-up, complete exercise for lats.",pull-ups-dorsales,dorsal-pull-ups,BACK,BODYWEIGHT,@fit-distance
ex-020,Développé épaules haltères,Dumbbell Shoulder Press,Desenvolvimento de ombros com halteres,Shoulder development with dumbbells,https://www.youtube.com/watch?v=qEwKCR5JCog,https://img.youtube.com/vi/qEwKCR5JCog/maxresdefault.jpg,"Desenvolvimento clássico de ombros com halteres.","Classic shoulder development with dumbbells.",developpe-epaules-halteres,dumbbell-shoulder-press,SHOULDERS,DUMBBELL,@fit-distance
ex-021,Curl concentré haltère,Concentrated Dumbbell Curl,Curl concentrado com haltere,Concentrated curl with dumbbell,https://www.youtube.com/watch?v=Jvj2wV0DbnQ,https://img.youtube.com/vi/Jvj2wV0DbnQ/maxresdefault.jpg,"Curl concentrado sentado, isolamento máximo do bíceps.","Seated concentrated curl, maximum biceps isolation.",curl-concentre,concentrated-curl,BICEPS,DUMBBELL,@fit-distance
ex-022,Dips inversés banc,Reverse Bench Dips,Fundos invertidos no banco,Reverse dips on bench,https://www.youtube.com/watch?v=0326dy_-CzM,https://img.youtube.com/vi/0326dy_-CzM/maxresdefault.jpg,"Fundos invertidos no banco, exercício para tríceps.","Reverse dips on bench, triceps exercise.",dips-inverses-banc,reverse-bench-dips,TRICEPS,BODYWEIGHT,@fit-distance
ex-023,Dips coréens,Korean Dips,Fundos coreanos avançados,Advanced Korean dips,https://www.youtube.com/watch?v=kuu8CfPwCzU,https://img.youtube.com/vi/kuu8CfPwCzU/maxresdefault.jpg,"Fundos coreanos, exercício avançado para tríceps.","Korean dips, advanced triceps exercise.",dips-coreens,korean-dips,TRICEPS,BODYWEIGHT,@fit-distance
ex-024,Squat poids du corps,Bodyweight Squat,Agachamento com peso corporal,Bodyweight squat exercise,https://www.youtube.com/watch?v=aclHkVaku9U,https://img.youtube.com/vi/aclHkVaku9U/maxresdefault.jpg,"Agachamento básico, exercício fundamental para quadríceps.","Basic squat, fundamental exercise for quadriceps.",squat-poids-corps,bodyweight-squat,QUADRICEPS,BODYWEIGHT,@fit-distance
ex-025,Hip-thrust lesté,Weighted Hip Thrust,Elevação de quadril com peso,Weighted hip thrust exercise,https://www.youtube.com/watch?v=xDmFkJxPzeM,https://img.youtube.com/vi/xDmFkJxPzeM/maxresdefault.jpg,"Hip-thrust com peso adicional para máxima ativação dos glúteos.","Weighted hip-thrust for maximum glute activation.",hip-thrust-leste,weighted-hip-thrust,GLUTES,DUMBBELL,@fit-distance
ex-026,Planche progression,Planche Progression,Progressão para prancha,Plank progression exercise,https://www.youtube.com/watch?v=z5OTLA8g8rE,https://img.youtube.com/vi/z5OTLA8g8rE/maxresdefault.jpg,"Progressão para prancha, fortalecimento avançado do core.","Plank progression, advanced core strengthening.",planche-progression,plank-progression,CORE,BODYWEIGHT,@fit-distance
ex-027,Bird Dog core,Bird Dog Core,Exercício Bird Dog para estabilização,Bird Dog exercise for stabilization,https://www.youtube.com/watch?v=wiFNA3sqjCA,https://img.youtube.com/vi/wiFNA3sqjCA/maxresdefault.jpg,"Bird Dog, exercício de estabilização para core e coluna.","Bird Dog, stabilization exercise for core and spine.",bird-dog-core,bird-dog-core,CORE,BODYWEIGHT,@fit-distance
